id,town_ksh_code,province_name,town_name,town_type1,town_type2,town_type3,district_ksh_code,town_population,street_name,house_number,target,address,geocode,lon,lat,cafe,fuel,restaurant,pub,bank,bus_station,veterinary,pharmacy,fountain,post_office,fast_food,parking,taxi,food_court,dentist,vending_machine,social_facility,parcel_locker,townhall,library,community_centre,bicycle_repair_station,police,bicycle_rental,atm,charging_station,place_of_worship,toilets,clock,ice_cream,chair,doctors,kindergarten,childcare,rental,bum,parking_entrance,nightclub,marketplace,bar,car_wash,school,biergarten,language_school,bbq,smoking_area,arts_centre,cinema,bureau_de_change,courthouse,clinic,shelter,printer,parking_space,studio,motorcycle_parking,hunting_stand,escooter_rental,coworking_space,hospital,vehicle_ramp,driving_school,theatre,waste_disposal,air_filling,mist_spraying_cooler,art_school,nursing_home,car_rental,compressed_air,dojo,public_hall,table,internet_cafe,playhouse,dog_toilet,ferry_terminal,workshop,music_school,university,public_bookcase,college,dancing_school,casino,ticket_validator,trolley_bay,money_transfer,dressing_room,water_point,gambling,lounger,weighbridge,prison,funeral_hall,fire_station,migrant_detention_centre,food,vacuum_cleaner,boat_rental,animal_boarding,vehicle_inspection,shower,social_centre,monastery,ski_rental,yes,office,grit_bin,locker,music_venue,ritual_bath,hookah_lounge,training,dormitory,sanitary_dump_station,device_charging_station,left_luggage,car_sharing,luggage_locker,karaoke_box,stripclub,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportions,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,clean_intersection_count,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient,pagerank
2936,14827,7,Székesfehérvár,2,2,2,85,100570,lippai utca,5,1,"lippai utca 5, Székesfehérvár","{'x': 18.408600035314, 'y': 47.173429987008}",18.408600035314,47.173429987008,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,24.0,4.0,1837.1080000000004,76.54616666666668,2.8333333333333335,"{0: 0, 1: 1, 2: 0, 3: 11}","{0: 0.0, 1: 0.08333333333333333, 2: 0.0, 3: 0.9166666666666666}",11.0,918.5540000000001,12.0,76.54616666666668,1.003541791854426,0.0,1.0,0.36363636363636365,0.3548387096774194,0.18181818181818182,0.22500297034722522,0.0,0.08736449389428369
2938,14827,7,Székesfehérvár,2,2,2,85,100570,ősz utca,4,1,"ősz utca 4, Székesfehérvár","{'x': 18.413149983815, 'y': 47.195649993231}",18.413149983815,47.195649993231,,,,2.0,1.0,,,1.0,1.0,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,348.0,5.4375,12036.623999999996,34.58799999999999,3.09375,"{0: 0, 1: 8, 2: 0, 3: 93, 4: 26, 5: 1}","{0: 0.0, 1: 0.0625, 2: 0.0, 3: 0.7265625, 4: 0.203125, 5: 0.0078125}",120.0,6018.312,174.0,34.588,1.03813700134664,0.0,1.0,0.015748031496062992,0.1086398631308811,0.0,0.006938965628610607,0.0,0.004312033144158437
2939,14827,7,Székesfehérvár,2,2,2,85,100570,rózsahegyi utca,30,0,"rózsahegyi utca 30, Székesfehérvár","{'x': 18.459959979383, 'y': 47.216249987118}",18.459959979383,47.216249987118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,3.0,1118.502,186.417,3.5,"{0: 0, 1: 0, 2: 0, 3: 2, 4: 2}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.5, 4: 0.5}",4.0,559.251,3.0,186.417,1.0000010457891793,0.0,1.0,2.0,1.0,1.0,0.707106878039843,0.0,0.4797305739863631
2942,14827,7,Székesfehérvár,2,2,2,85,100570,szamos utca,46/A,1,"szamos utca 46/A, Székesfehérvár","{'x': 18.361449985933, 'y': 47.206599985811}",18.361449985933,47.206599985811,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,3.2,1055.856,131.982,3.0,"{0: 0, 1: 1, 2: 0, 3: 2, 4: 2}","{0: 0.0, 1: 0.2, 2: 0.0, 3: 0.4, 4: 0.4}",4.0,527.928,4.0,131.982,1.002834961723396,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5773493802714443,0.0,0.2390545807645797
2943,14827,7,Székesfehérvár,2,2,2,85,100570,széchenyi utca,76,1,"széchenyi utca 76, Székesfehérvár","{'x': 18.418239978337, 'y': 47.179749983912}",18.418239978337,47.179749983912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,74.0,4.774193548387097,4299.093999999999,58.09586486486485,2.870967741935484,"{0: 0, 1: 4, 2: 0, 3: 23, 4: 4}","{0: 0.0, 1: 0.12903225806451613, 2: 0.0, 3: 0.7419354838709677, 4: 0.12903225806451613}",27.0,2149.5469999999996,37.0,58.09586486486485,1.070257083394047,0.0,1.0,0.2,0.22556390977443608,0.19080459770114944,0.04054669841035824,0.0,0.04767740639885891
2944,14827,7,Székesfehérvár,2,2,2,85,100570,sziget utca,23,1,"sziget utca 23, Székesfehérvár","{'x': 18.405339977893, 'y': 47.185509985865}",18.405339977893,47.185509985865,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,302.0,5.441441441441442,11137.03800000001,36.87760927152321,3.0,"{0: 0, 1: 9, 2: 0, 3: 85, 4: 16, 5: 1}","{0: 0.0, 1: 0.08108108108108109, 2: 0.0, 3: 0.7657657657657657, 4: 0.14414414414414414, 5: 0.009009009009009009}",102.0,5568.518999999998,151.0,36.87760927152317,1.106831086088101,0.013245033112582781,1.0,0.05454545454545454,0.15827338129496402,0.14751862816083,0.015164824160140825,0.0,0.009413177468917344
2945,14827,7,Székesfehérvár,2,2,2,85,100570,szilágyi utca,4,0,"szilágyi utca 4, Székesfehérvár","{'x': 18.432479993642, 'y': 47.189509997698}",18.432479993642,47.189509997698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,34.0,5.230769230769231,3291.2,96.8,3.1538461538461537,"{0: 0, 1: 1, 2: 0, 3: 9, 4: 2, 5: 1}","{0: 0.0, 1: 0.07692307692307693, 2: 0.0, 3: 0.6923076923076923, 4: 0.15384615384615385, 5: 0.07692307692307693}",12.0,1645.6000000000001,17.0,96.80000000000001,1.0031137887858443,0.0,1.0,0.5,0.5,0.23989898989898992,0.3121878332506812,0.0,0.084359247122748
2946,14827,7,Székesfehérvár,2,2,2,85,100570,tolnai utca,5,0,"tolnai utca 5, Székesfehérvár","{'x': 18.41072996073, 'y': 47.186299980239}",18.41072996073,47.186299980239,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,632.0,5.448275862068965,15537.758000000022,24.585060126582313,2.961206896551724,"{0: 0, 1: 29, 2: 0, 3: 159, 4: 40, 5: 3, 6: 1}","{0: 0.0, 1: 0.125, 2: 0.0, 3: 0.6853448275862069, 4: 0.1724137931034483, 5: 0.01293103448275862, 6: 0.004310344827586207}",203.0,7768.879000000001,316.0,24.58506012658228,1.0624518056591161,0.0,1.0,0.025974025974025976,0.10891089108910891,0.24755827157149926,0.002309677013990749,0.0,0.004763488406318004
2948,14827,7,Székesfehérvár,2,2,2,85,100570,tóvárosi lakónegyed,6,1,"tóvárosi lakónegyed 6, Székesfehérvár","{'x': 18.411720031133, 'y': 47.182209988675}",18.411720031133,47.182209988675,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,524.0,5.664864864864865,13372.168000000005,25.51940458015268,2.972972972972973,"{0: 0, 1: 28, 2: 0, 3: 106, 4: 51}","{0: 0.0, 1: 0.15135135135135136, 2: 0.0, 3: 0.572972972972973, 4: 0.2756756756756757}",157.0,6686.083999999998,262.0,25.519404580152663,1.0410604647352797,0.0,1.0,0.043478260869565216,0.11057692307692307,0.03983949529502069,0.042810741167472376,0.0,0.00783197430453949
2952,12265,6,Székkutas,4,3,6,71,2284,béke utca,14,2,"béke utca 14, Székkutas","{'x': 20.539960013954, 'y': 46.506990020399}",20.539960013954,46.506990020399,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,20.0,4.0,1660.39,83.01950000000001,2.9,"{0: 0, 1: 1, 2: 0, 3: 8, 4: 1}","{0: 0.0, 1: 0.1, 2: 0.0, 3: 0.8, 4: 0.1}",9.0,830.195,10.0,83.01950000000001,1.0130268784533867,0.0,1.0,0.6666666666666666,0.47368421052631576,0.5555555555555556,0.3204661996299506,0.0,0.1477236174596743
